M_env,M_disk,M_disk/M_env,Age(yrs)
0.0477588,0.002112,0.044222216638609015,254184.0
0.0697199,0.0008958,0.01284855543395788,187663.0
0.1128137,0.0273602,0.24252550886993335,217622.0
0.0901684,0.0002904,0.0032206404904600726,297348.0
0.0744682,0.0007299,0.00980149916340129,259315.0
0.0512362,0.0015253,0.029769967327787774,154880.0
0.1435356,0.0249476,0.17380775222314185,151995.0
0.0392794,0.0236069,0.6009995061024354,257081.0
0.0752288,0.0011751,0.015620347526479223,294669.0
0.0256926,0.0002417,0.009407377999891019,189891.0
0.0955512,0.0045209,0.047313900819665265,285112.0
0.046894,0.0235894,0.5030366358169489,289700.0
0.0655678,5.97e-05,0.0009105079017444539,278755.0
0.0745007,0.0009438,0.012668337344481325,258596.0
0.0679176,0.0053806,0.07922246958078613,287675.0
0.068615,0.0009028,0.013157472855789552,279680.0
0.2385577,0.0122775,0.05146553642997061,178829.0
0.0475243,0.025247,0.531244016219071,213838.0
