r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
3.837697103571006203e-04,2.051362399278529836e+01,1.048979677367478214e+00,1.734341828302045985e-06,7.086170604881079197e+08,2.002647270409338778e-04,0.000000000000000000e+00,1.054024879162809739e-07,3.095658458664188872e-01,3.259262932660250537e-04,4.154803896554701931e-07,6.842105263157893802e-01,1.182790131566424392e-03,1.118678979975815093e-08
4.336257336560791218e-04,2.008015629797118962e+01,1.031207534409804394e+00,1.951743446731679063e-06,5.871926871278617382e+08,2.095348274326785433e-04,0.000000000000000000e+00,1.091770320776224260e-07,3.132361923340727383e-01,3.410131710379039828e-04,4.848499285538785044e-07,6.862603558804827308e-01,1.286043761144069816e-03,1.327136050860153781e-08
4.834817569550574606e-04,1.970552131709977672e+01,1.015637656548321610e+00,2.169101373808400958e-06,4.967072830618965030e+08,2.182470474052973790e-04,0.000000000000000000e+00,1.127109355418765944e-07,3.165625180130250405e-01,3.551921111026388588e-04,5.563124519823539055e-07,6.880521261027744417e-01,1.385907828742056558e-03,1.545212718851162514e-08
7.882272586628117240e-04,1.814793047120460656e+01,9.486944901283690390e-01,3.499879005738681883e-06,2.346194146456903517e+08,2.633135801183004478e-04,0.000000000000000000e+00,1.308162201541221998e-07,3.321505571955123415e-01,4.285368691862671549e-04,1.030441901527042079e-06,6.956858855286942589e-01,1.943714468807740924e-03,3.055712134396248652e-08
1.205133664772190362e-03,1.694125138374443651e+01,8.942799839828152741e-01,5.332736771499064479e-06,1.225130635533072501e+08,3.117367842364948747e-04,0.000000000000000000e+00,1.500058052376309185e-07,3.466031365823102339e-01,5.073445337186304480e-04,1.758191949266904818e-06,7.017579698713568570e-01,2.615060545928696561e-03,5.516214148838483406e-08
1.863674532326724427e-03,1.582392782522788899e+01,8.417717145445541282e-01,8.261564150251146535e-06,6.296676740152541548e+07,3.726508810172229663e-04,0.000000000000000000e+00,1.738620784596716419e-07,3.623544110785297812e-01,6.064808422675272695e-04,3.040319025001251716e-06,7.074508889906150344e-01,3.555545372876640388e-03,1.010259487909393326e-07
2.879215785251888760e-03,1.481551184561561030e+01,7.925590808499048956e-01,1.285303897160787450e-05,3.245801043082027882e+07,4.473893748709552635e-04,0.000000000000000000e+00,2.028151400216963634e-07,3.790258073579132470e-01,7.281160429639213809e-04,5.246644800149853440e-06,7.125937891770731669e-01,4.842281733081233233e-03,1.845269308115245645e-07
4.452406827191971068e-03,1.389729562971673005e+01,7.462120337767182976e-01,2.011655972616342361e-05,1.672855846014614217e+07,5.396283619673295949e-04,0.000000000000000000e+00,2.381969019487620909e-07,3.967295148313131903e-01,8.782328988033880025e-04,9.059204549404294650e-06,7.172297711251010011e-01,6.613249646842645282e-03,3.370961073407943699e-07
6.889031492928451850e-03,1.305854940607104453e+01,7.025946320007175894e-01,3.165414115815252808e-05,8.624360201377499849e+06,6.535405453266231396e-04,0.000000000000000000e+00,2.815057109055201883e-07,4.154944554032595216e-01,1.063622389148063778e-03,1.564585986367955016e-05,7.213790933409905959e-01,9.052852968366845166e-03,6.156415855739541355e-07
1.066496721890467653e-02,1.228934819259738553e+01,6.615383084741358610e-01,5.006276526086301572e-05,4.447119184835080989e+06,7.944051638527939441e-04,0.000000000000000000e+00,3.346377393139316271e-07,4.353665653379638067e-01,1.292876355370399218e-03,2.703197877082683754e-05,7.250721055349989008e-01,1.241855043445123583e-02,1.124155104948653770e-06
1.651842599073160764e-02,1.158134646900633768e+01,6.228913210860377303e-01,7.955101839058983004e-05,2.293553438694607932e+06,9.687822390270357494e-04,0.000000000000000000e+00,3.999469043748284081e-07,4.563916697224038588e-01,1.576671083388053599e-03,4.672644916926004032e-05,7.283420693961161207e-01,1.706740635750792628e-02,2.052359442460255763e-06
2.559539824864997051e-02,1.092741062407469599e+01,5.865103449398386681e-01,1.269582358909684473e-04,1.183058524421100505e+06,1.184847916068381248e-03,0.000000000000000000e+00,4.803651222239370813e-07,4.786187424343496533e-01,1.928313063783861298e-03,8.081693099815654476e-05,7.312242163944479012e-01,2.349537407290257576e-02,3.746445808026758169e-06
3.967499851448203635e-02,1.032145531869825206e+01,5.522610288242901788e-01,2.034208426681206395e-04,6.103264053533715196e+05,1.452788610558518236e-03,0.000000000000000000e+00,5.795430692737786003e-07,5.020996119126897028e-01,2.364380456482750598e-03,1.398782507887795187e-04,7.337542336230477025e-01,3.239140501987097798e-02,6.838049578383488728e-06
6.151962814643112398e-02,9.758279542101977455e+00,5.200172248042389533e-01,3.271049120856801395e-04,3.148972061991818482e+05,1.785297137272662564e-03,0.000000000000000000e+00,7.020274523191246016e-07,5.268892681414756307e-01,2.905530529151996878e-03,2.423084334163744030e-04,7.359671873961328714e-01,4.471283622000465918e-02,1.247955010747639534e-05
9.541886447690693662e-02,9.233429597497142538e+00,4.896604725940698066e-01,5.276898869597718188e-04,1.624872570116657007e+05,2.198190169812096716e-03,0.000000000000000000e+00,8.534815959371635052e-07,5.530460528398968290e-01,3.577504558724561422e-03,4.201754954319869475e-04,7.378967162874204844e-01,6.179023776999362921e-02,2.277328847769028670e-05
1.480343562831557547e-01,8.743081780004796855e+00,4.610794919483732213e-01,8.537318220777838189e-04,8.385088513107516337e+04,2.711178120688174584e-03,0.000000000000000000e+00,1.040960469234325662e-06,5.806318599642273925e-01,4.412380793744216656e-03,7.294994717953999378e-04,7.395744793453952193e-01,8.547328568162251838e-02,4.155450965882028289e-05
2.297123454393384945e-01,8.283942893940093199e+00,4.341697175990135715e-01,1.384763514544273518e-03,4.327415593807353434e+04,3.348824785720877929e-03,0.000000000000000000e+00,1.273253486563811588e-06,6.097123276345264298e-01,5.450136253821179742e-03,1.268409947169174979e-03,7.410298143338381882e-01,1.183337137369278869e-01,7.581950256822996578e-05
3.565227023811175511e-01,7.853166168096882949e+00,4.088328679195999404e-01,2.251190448817071751e-03,2.233457144166632861e+04,4.141743590250417800e-03,0.000000000000000000e+00,1.561311811134543720e-06,6.403570279546748623e-01,6.740593593162907265e-03,2.209382000381042606e-03,7.422895636987698609e-01,1.639476941830050327e-01,1.383305766268082986e-04
5.534267049591041765e-01,7.448280456714487130e+00,3.849765452817044409e-01,3.667021605306095521e-03,1.152791500591551812e+04,5.128088765984103667e-03,0.000000000000000000e+00,1.918780993796214500e-06,6.726396567532281212e-01,8.345847957012996615e-03,3.856861691519418173e-03,7.433780284591298138e-01,2.272887481201146531e-01,2.523675505612969967e-04
8.591985120729357384e-01,7.067130812727290490e+00,3.625138652473546275e-01,5.983738106428671162e-03,5.950378979864263783e+03,6.355414181934763464e-03,0.000000000000000000e+00,2.362664920103330041e-06,7.066382258193010246e-01,1.034329218677103139e-02,6.751230270922615496e-03,7.443170153188758409e-01,3.152744677750768942e-01,4.603943682617010649e-04
1.334071338493721948e+00,6.707828738228955423e+00,3.413631121457623707e-01,9.778983503207888325e-03,3.071540652834012235e+03,7.882990483399866452e-03,0.000000000000000000e+00,2.914153439918555311e-06,7.424352595756908979e-01,1.282938791103594052e-02,1.185877721764977931e-02,7.451259482018304237e-01,4.375272851348577796e-01,8.398666357854120412e-04
