r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
1.016039304978931046e-03,3.208782587563231203e+01,1.039829619714556008e+00,1.570208727637871096e-06,6.435137224964936972e+08,1.274765496382123742e-03,0.000000000000000000e+00,2.274336300414136954e-07,1.979042874353137971e-01,1.652747990487995642e-03,1.672904317522464528e-07,6.842107314939713802e-01,2.043538881859569001e-03,4.139352038623760647e-09
1.148034309378231400e-03,3.140978757302127633e+01,1.022212502486789631e+00,1.767036121794982598e-06,5.332450818375179172e+08,1.333773489304837436e-03,4.409446957772681502e-03,2.355782181752632303e-07,2.002507272341149669e-01,1.729252525637816392e-03,1.951482302136828367e-07,6.862605886220872753e-01,2.221933081425022261e-03,4.910687764124815199e-09
1.280029313777531321e-03,3.082377658506478824e+01,1.006778440692609689e+00,1.963823963391123334e-06,4.510729272362026572e+08,1.389230354543419558e-03,1.133753942368549011e-02,2.432035615268229487e-07,2.023772357984083559e-01,1.801152983284306933e-03,2.238339892633084544e-07,6.880523864894645403e-01,2.394471050247779041e-03,5.717617999294562314e-09
2.086850357775216040e-03,2.838736494964449619e+01,9.404192212930791994e-01,3.168661126875151114e-06,2.130640874037860632e+08,1.676097594995252377e-03,1.660881718015711217e-01,2.822705999307227685e-07,2.123426174411846001e-01,2.173079629039301186e-03,4.139057498887406544e-07,6.956863172218740177e-01,3.358209659202568854e-03,1.130678761082462121e-08
3.190612091755429432e-03,2.649986829186851978e+01,8.864796974318075451e-01,4.828051393293329794e-06,1.112578122839336842e+08,1.984329839712395925e-03,1.409033502992155018e+00,3.236771128264220977e-07,2.215820496662201100e-01,2.572706246252947412e-03,7.050616463810800472e-07,7.017586032010298958e-01,4.518106209616148256e-03,2.041109336003078824e-08
4.934111110209393400e-03,2.475213359177798722e+01,8.344294572539430188e-01,7.479699305227252225e-06,5.718204538733754307e+07,2.372074356473019563e-03,1.189431697833207124e+01,3.751536429220368649e-07,2.316517928995576459e-01,3.075421430118231887e-03,1.216900485832976340e-06,7.074519023606274937e-01,6.143008450258021988e-03,3.738160402971562606e-08
7.622764308501033502e-03,2.317476276480749675e+01,7.856462896576653643e-01,1.163662920644303292e-05,2.947619954826325551e+07,2.847816827572091994e-03,1.015283484639034270e+02,4.376279290163840393e-07,2.423097369970064474e-01,3.692226964414783985e-03,2.095515328510094470e-06,7.125953721319923106e-01,8.366133160599798640e-03,6.827843644496926817e-08
1.178775644988918833e-02,2.173849812231358669e+01,7.397040511432760868e-01,1.821265355871001394e-05,1.519188818551908061e+07,3.434955056853116785e-03,8.673863414725483381e+02,5.139737322993703231e-07,2.536275567715375878e-01,4.453458368415703743e-03,3.609537025709086295e-06,7.172322167534550541e-01,1.142585234889323051e-02,1.247309509497899396e-07
1.823843293685949163e-02,2.042657953705712615e+01,6.964687413971725194e-01,2.865781381676319576e-05,7.832343198136862367e+06,4.160034348751935271e-03,7.424693926009027564e+03,6.074222649149162614e-07,2.656234995472713800e-01,5.393531931774063308e-03,6.216863887946127870e-06,7.213828053290745057e-01,1.564064718475723786e-02,2.277917083792445285e-07
2.823349276540065844e-02,1.922355217939335859e+01,6.557756465462967199e-01,4.532128256689316463e-05,4.039074959996314254e+06,5.056584820821077159e-03,6.364418463359958696e+04,7.220558451630057310e-07,2.783260429232529698e-01,6.555919833932314159e-03,1.070737589566635201e-05,7.250775668416387099e-01,2.145474975062455769e-02,4.159119154049089415e-07
4.372092453668238732e-02,1.811658216499316865e+01,6.174821212798743408e-01,7.200188753044611313e-05,2.083732895427848445e+06,6.166027912302619006e-03,5.460730120513360016e+05,8.629118736398464721e-07,2.917611900537502856e-01,7.994325442815581120e-03,1.843941392404599316e-05,7.283495941331985524e-01,2.948220167274182360e-02,7.591198206802485266e-07
6.770041674460824943e-02,1.709520261547240239e+01,5.814710524166899486e-01,1.148278633289298334e-04,1.075927169500819640e+06,7.538950353230589735e-03,4.683725772023164667e+06,1.036135109744773523e-06,3.059483043856763840e-01,9.774335030288282614e-03,3.173957352818613365e-05,7.312330100537084432e-01,4.056613332094381047e-02,1.384437058413607667e-06
1.047060038587905306e-01,1.615196658811259312e+01,5.476851991969680089e-01,1.835391665313997056e-04,5.569482406657175161e+05,9.234199382908075265e-03,4.000086613799760491e+07,1.248857746155139011e-06,3.208793782042069775e-01,1.197224471260079776e-02,5.453467434450635199e-05,7.337595705628865428e-01,5.583389392398456497e-02,2.519092759684488850e-06
1.612407092009262299e-01,1.528405607136106248e+01,5.161967461270765556e-01,2.929289367411707138e-04,2.903632673667558120e+05,1.131090377656519125e-02,3.361644533557221889e+08,1.508206135176173469e-06,3.364667112857760989e-01,1.466471562054066230e-02,9.318071571021033445e-05,7.359542460403806219e-01,7.668289575652377510e-02,4.554089688251376527e-06
2.457401641695827477e-01,1.449369181254219008e+01,4.872331047399593440e-01,4.635631174687412297e-04,1.538432547161086113e+05,1.381091982879352822e-02,2.704046497869876385e+09,1.819143912764041637e-06,3.524858614800253087e-01,1.790601491694830336e-02,1.571625516960583279e-04,7.378355329487558123e-01,1.046072716578588524e-01,8.113090503789516282e-06
3.685209089855322473e-01,1.378132756449744001e+01,4.609311233612105596e-01,7.224527072481950682e-04,8.355456042903562775e+04,1.675834592055348501e-02,2.010826522232032776e+10,2.184462230221210281e-06,3.686750681980853761e-01,2.172738642731111489e-02,2.598138395531721686e-04,7.394316433717611492e-01,1.411104390601703729e-01,1.413168234135286625e-05
5.432470733147044539e-01,1.313903939281701660e+01,4.370882081003205077e-01,1.107069549327571734e-03,4.658367822425206396e+04,2.019192122605562717e-02,1.366693134684657135e+11,2.608807046541625322e-06,3.849304015118316102e-01,2.617905593237966275e-02,4.204900159299412659e-04,7.407903826178270368e-01,1.880615538832950129e-01,2.403606137902533806e-05
7.891422065106542538e-01,1.255489947524971583e+01,4.153233786301016583e-01,1.671901780150532009e-03,2.655974783401504828e+04,2.418072657494492461e-02,8.595198982136904297e+11,3.100581479562081594e-06,4.012934948703175131e-01,3.135058751488210838e-02,6.683178028829827319e-04,7.419640104878131304e-01,2.480417632633348246e-01,4.005810701176075537e-05
