r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
1.031525155875249707e-03,4.955104575370798159e+01,1.143321521605689117e+00,1.425677411515676911e-06,1.827367727736434221e+09,3.731101539165046499e-03,0.000000000000000000e+00,6.545792173973764488e-07,1.281570964135236856e-01,4.077012957994652874e-03,6.974677064009273502e-08,6.842106954607023450e-01,3.475614143386680267e-03,1.576054315852547390e-09
1.165531945489718451e-03,4.850399717062809657e+01,1.123951011794102950e+00,1.604387640609639150e-06,1.514240977584628820e+09,3.903811550444613154e-03,1.537221445471776294e-03,6.780202380899710412e-07,1.296765828941904009e-01,4.265734960483968594e-03,8.134973494166158722e-08,6.862605477540075771e-01,3.779023764306466485e-03,1.869739662240472800e-09
1.299538735104186979e-03,4.759906010938340160e+01,1.106980831966905443e+00,1.783061957161917427e-06,1.280899026457825661e+09,4.066127789962702133e-03,3.952493119655155207e-03,6.999668142314268421e-07,1.310536482669136249e-01,4.443099581859645368e-03,9.329560051020323692e-08,6.880523407708325490e-01,4.072473210877177764e-03,2.176977588234049091e-09
2.118656761864987342e-03,4.383667468471845297e+01,1.034017030094859457e+00,2.876998613466146045e-06,6.050320672757074833e+08,4.905756973973353190e-03,5.790155934479231103e-02,8.124060178763679856e-07,1.375069402685166475e-01,5.360571011460016702e-03,1.724104566502819966e-07,6.956862410035044020e-01,5.711582136448354122e-03,4.305048524990065232e-09
3.239241628801471304e-03,4.092194008159901131e+01,9.747090071758507390e-01,4.383649040307374559e-06,3.159355951215434074e+08,5.807919287812846401e-03,4.912172763464419112e-01,9.315784871118265589e-07,1.434901300961410053e-01,6.346373034034067002e-03,2.935102697564515173e-07,7.017584870373880790e-01,7.684313394362755900e-03,7.771505761474408404e-09
5.009306743995300092e-03,3.822303908040419174e+01,9.174785020532351121e-01,6.791213381683291769e-06,1.623785471303730011e+08,6.942800521172629198e-03,4.146582552830788693e+00,1.079732917387918949e-06,1.500109809035217456e-01,7.586469409226313625e-03,5.062281134041711259e-07,7.074517020023506353e-01,1.044790624681558693e-02,1.423298521825393659e-08
7.738894832792110948e-03,3.578723672003494016e+01,8.638406508353250191e-01,1.056545266647378272e-05,8.370353440835148096e+07,8.335226195537826649e-03,3.539408786781918792e+01,1.259538010924088589e-06,1.569126695632223345e-01,9.107987239240061469e-03,8.710452808366361856e-07,7.125950132133604953e-01,1.422889836651763246e-02,2.599672220721116726e-08
1.196711968267638072e-02,3.356939284014158886e+01,8.133278805555073099e-01,1.653582382547194861e-05,4.314157994180969149e+07,1.005362693123834292e-02,3.023638840765348164e+02,1.479258140006660804e-06,1.642414357160995875e-01,1.098570136546733918e-02,1.499039674454761921e-06,7.172315220132425839e-01,1.943252834519191424e-02,4.748958417234110547e-08
1.851473358367656738e-02,3.154376116758542281e+01,7.657961979759783100e-01,2.601750896364307667e-05,2.224431569808652252e+07,1.217546814674626450e-02,2.587631037154056685e+03,1.748164218393010218e-06,1.720084306812574293e-01,1.330425904598782523e-02,2.579140083678225457e-06,7.213813025028338322e-01,2.659957379210962924e-02,8.672072669672509602e-08
2.865454103658375551e-02,2.968691291496720197e+01,7.210755018100090119e-01,4.113559928421814149e-05,1.147524417681890167e+07,1.479789201265217791e-02,2.216408342546544009e+04,2.077881385899323008e-06,1.802296311319303013e-01,1.616980852793664311e-02,4.435974473250764537e-06,7.250739235641300295e-01,3.648125457788277404e-02,1.582878419643125997e-07
4.433714163142036396e-02,2.798040145328794281e+01,6.790440606032071003e-01,6.529583564643234503e-05,5.927223314822023734e+06,1.803791441381703484e-02,1.896591185825133289e+05,2.482385417160272273e-06,1.889130118200250952e-01,1.971021427006987639e-02,7.622392215817370163e-06,7.283399954655200847e-01,5.010142939750627383e-02,2.885861056404636057e-07
6.847371216835609897e-02,2.641195536203841598e+01,6.396742175352435611e-01,1.038380989877550495e-04,3.072706634415312205e+06,2.202710964504450350e-02,1.611958889399688924e+06,2.977332493388862963e-06,1.980420505692603861e-01,2.406924885515502460e-02,1.305984216818712436e-05,7.312071517472484850e-01,6.880401838039330864e-02,5.244046103550893449e-07
1.051151580627355531e-01,2.497839389500260410e+01,6.031227119069905163e-01,1.646380116071012849e-04,1.608556425774297910e+06,2.688565194047371973e-02,1.338498578228422441e+07,3.576878875949981894e-06,2.075371427866104235e-01,2.937822790263030365e-02,2.219973959982093713e-05,7.336946711460777815e-01,9.418160121727385536e-02,9.444916785387109506e-07
1.593397911762294838e-01,2.368289659898972488e+01,5.696751407408857659e-01,2.582838410032707610e-04,8.587638161211705301e+05,3.268611137811329448e-02,1.050696283212224394e+08,4.289328185658274006e-06,2.172405642253655011e-01,3.571644948179189538e-02,3.713785991154777764e-05,7.358194273074041281e-01,1.278547477955492562e-01,1.671022446869795127e-06
2.374598016207831452e-01,2.252016441262654212e+01,5.393626284112571501e-01,3.987886480375462772e-04,4.706121694263021927e+05,3.948296472125571721e-02,7.569322840224462748e+08,5.120869205890881682e-06,2.270177520133381532e-01,4.314344091118679780e-02,6.081692195509686978e-05,7.376184659173856684e-01,1.715430147178006737e-01,2.886997787370528815e-06
3.480966994959519001e-01,2.147195048430824826e+01,5.118349140102312900e-01,6.060335977561453254e-04,2.644860471442112466e+05,4.738245429193981700e-02,4.997636259499691963e+09,6.084096182900215425e-06,2.368418643861837369e-01,5.177529426686628550e-02,9.756602601398749392e-05,7.391486993552121021e-01,2.275264228067942207e-01,4.874789803640984419e-06
5.034526602064047784e-01,2.051707246237809557e+01,4.866230060285812731e-01,9.090830524018712368e-04,1.517374547416120477e+05,5.655741314706166228e-02,3.073422592652721786e+10,7.199700396872615066e-06,2.467549035389128564e-01,6.180086600452808915e-02,1.539141493174603370e-04,7.404662610207969342e-01,2.989490643791439251e-01,8.078460299227168212e-06
7.209046842443390668e-01,1.963701382950911167e+01,4.632974925804916877e-01,1.350783768840940063e-03,8.839612620099847845e+04,6.724553873187517905e-02,1.794332379782322388e+11,8.496179021884193227e-06,2.568255974452958723e-01,7.347989056297264676e-02,2.398010124621930512e-04,7.416179614070493864e-01,3.900710975313372852e-01,1.320247850938210343e-05
1.025142615438557669e+00,1.881740652014209658e+01,4.415184251697353290e-01,1.994360501509671608e-03,5.204882597259362228e+04,7.974736176149654909e-02,1.010797651194747192e+12,1.000954906393670011e-05,2.671256452227231959e-01,8.714076094007004725e-02,3.703983334502147871e-04,7.426409821921897692e-01,5.065512786663434186e-01,2.136813637890376134e-05
1.451087459497762522e+00,1.804778276152071470e+01,4.210362014913010542e-01,2.932939053170304389e-03,3.086651612844520423e+04,9.442674397838465850e-02,5.561467360763393555e+12,1.178339594061030059e-05,2.777186380817281974e-01,1.031810725974692255e-01,5.688495255330377294e-04,7.435653592187529970e-01,6.557939589014335491e-01,3.436058725764614042e-05
2.047956300661156526e+00,1.732073637483402351e+01,4.016738232519314056e-01,4.303453685645625831e-03,1.839003756750972025e+04,1.117159768111751078e-01,3.014012739919942969e+13,1.386949844225331283e-05,2.886570611514471252e-01,1.220731948174523657e-01,8.704154790252307573e-04,7.444170412142625537e-01,8.474051445423534945e-01,5.501988348559478482e-05
2.884976123318641950e+00,1.663104953589237667e+01,3.833062260181805958e-01,6.307082892310991035e-03,1.098951167527476173e+04,1.321259499512575930e-01,1.617908029902838438e+14,1.632908392568082994e-05,2.999833706079705897e-01,1.443753820109588692e-01,1.328770914576867966e-03,7.452207579208190991e-01,1.093800916468814277e+00,8.786101812435831492e-05
