r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
7.161396018313993545e-04,2.042459189366109129e+01,9.777870843059336403e-01,1.736019011380934237e-06,3.270853144344962835e+08,3.218903051716081676e-04,0.000000000000000000e+00,8.470797504516003327e-08,3.109153201217107476e-01,7.098307551908452414e-04,4.192051268740418711e-07,6.842107771145333750e-01,1.176518906749422170e-03,1.129544285138386748e-08
8.091742401461394802e-04,1.999300602119060954e+01,9.612211120407696541e-01,1.953630909791016560e-06,2.710379455424875021e+08,3.367903835587462936e-04,1.095358028289123223e-02,8.774143948489632800e-08,3.146016684109114170e-01,7.426883272395169797e-04,4.891993892438054308e-07,6.862606403134746680e-01,1.279225131046059574e-03,1.340025972709532099e-08
9.022088784608796059e-04,1.961999751133469516e+01,9.467079408464343926e-01,2.171199079960052773e-06,2.292714645395360291e+08,3.507937690848762563e-04,2.816376940013569710e-02,9.058151056156388444e-08,3.179424961988154275e-01,7.735685170543114527e-04,5.613059708056193698e-07,6.880524442836428722e-01,1.378559771026020495e-03,1.560220667712096948e-08
1.470884254558563675e-03,1.806916953715970919e+01,8.843081168466463415e-01,3.503264290817788965e-06,1.082962729255243689e+08,4.232304882622968303e-04,4.125823481812087024e-01,1.051320937935491540e-07,3.335985001215646117e-01,9.333055773234719566e-04,1.039718246619725606e-06,6.956864131839231025e-01,1.933409460695028432e-03,3.085390320404520613e-08
2.248851262617576618e-03,1.686774083753748954e+01,8.335870822997305529e-01,5.337876671284079536e-06,5.655024898545946181e+07,5.010618783659887953e-04,3.500191088958769292e+00,1.205539809045493851e-07,3.481139718558358132e-01,1.104938936661222946e-03,1.774056848029697656e-06,7.017587368376809742e-01,2.601190531503381857e-03,5.569759800203972590e-08
3.477729702316292512e-03,1.575526982347766491e+01,7.846424332307332383e-01,8.269532817463669345e-06,2.906454217506847903e+07,5.989711921862243002e-04,2.954675003139838196e+01,1.397265280299460023e-07,3.639339463195269131e-01,1.320848024485981936e-03,3.067844930692946448e-06,7.074521257084638304e-01,3.536690021499840422e-03,1.020066103682930187e-07
5.372788168432462291e-03,1.475123896360880416e+01,7.387698972867198233e-01,1.286543242191461376e-05,1.498217569868171774e+07,7.191010702045151463e-04,2.522078803145557799e+02,1.629952594473036184e-07,3.806780254147248410e-01,1.585757779966958129e-03,5.294315590697083003e-06,7.125957340765640691e-01,4.816604019597333676e-03,1.863177868614612593e-07
8.308443129522172926e-03,1.383702184860397999e+01,6.955685901922141756e-01,2.013593377515562367e-05,7.721707946292355657e+06,8.673605550548119710e-04,2.154705601955734437e+03,1.914306836851311791e-07,3.984588935641565910e-01,1.912698791872818839e-03,9.141834681687593603e-06,7.172328090355284402e-01,6.578180361510249999e-03,3.403663383800961094e-07
1.285525654928194525e-02,1.300194108586558173e+01,6.549120236624847990e-01,3.168448303434160047e-05,3.980946927386541385e+06,1.050456086504443975e-03,1.844459788775901688e+04,2.262369390022191534e-07,4.173054933422742363e-01,2.316460064806070886e-03,1.578911876732663216e-05,7.213838035749469135e-01,9.004828421318734552e-03,6.216079895588804679e-07
1.990101679107211807e-02,1.223612753385162044e+01,6.166436356561447729e-01,5.010998847144559594e-05,2.052818603318435373e+06,1.276869758591109554e-03,1.581269899227693386e+05,2.689373914296502994e-07,4.372636268732459364e-01,2.815746266535969558e-03,2.728021790752017646e-05,7.250793525313158350e-01,1.235256224143188412e-02,1.135020460829263079e-06
3.082217917304400437e-02,1.153130575048610140e+01,5.806236269853702892e-01,7.962211962841892387e-05,1.058803903644625098e+06,1.557128891423131345e-03,1.357391239170055138e+06,3.214208938670228576e-07,4.583781744027178862e-01,3.433772186270418227e-03,4.715511769358844810e-05,7.283530994972646777e-01,1.697618381090606685e-02,2.072044996639365862e-06
4.775187893464500483e-02,1.088046881285044876e+01,5.467233210665256582e-01,1.270513840710641644e-04,5.462826170867955079e+05,1.904301542557076260e-03,1.166243608376994729e+07,3.860305157882823038e-07,4.806943991700933227e-01,4.199355433658485959e-03,8.154747518441190319e-05,7.312407002872955974e-01,2.336733631442118944e-02,3.781553334899120657e-06
7.398338270959073371e-02,1.027784020890891981e+01,5.148324940768791436e-01,2.034640897170674769e-04,2.820325508434947114e+05,2.334450370476792540e-03,1.001976692814198732e+08,4.656439133264390723e-07,5.042508203383794241e-01,5.147917296072851250e-03,1.410655705716997289e-04,7.337780208145432415e-01,3.220368219641810137e-02,6.897420863169018012e-06
1.145392716612439188e-01,9.719071874873977279e+00,4.848785546840329586e-01,3.266227723384176581e-04,1.458601067522556987e+05,2.866716830097509883e-03,8.585257953533115387e+08,5.636859009718505482e-07,5.290568859874856811e-01,6.321668406078808505e-03,2.439050453521942935e-04,7.359991157544647500e-01,4.440334869422743469e-02,1.256077572243910178e-05
1.768064713268438226e-01,9.201965663082043889e+00,4.568736870447946408e-01,5.241668256609910296e-04,7.581085497571789892e+04,3.521814718908994248e-03,7.277762475190329552e+09,6.838518393929422102e-07,5.550291805805828149e-01,7.766286717559411044e-03,4.204425150243680260e-04,7.379332664123579022e-01,6.114746365862326616e-02,2.277113948061519795e-05
2.707882025223128375e-01,8.727305837075125083e+00,4.309678889662658108e-01,8.361027854540268233e-04,3.989034781985132577e+04,4.317126691253251811e-03,5.977524566836037445e+10,8.292184110892677596e-07,5.818830791961153714e-01,9.520104365594743434e-03,7.182738255195108895e-04,7.396030540495196481e-01,8.378347781369881175e-02,4.082226533106766031e-05
4.088404837258756697e-01,8.296810201189009248e+00,4.073416669872444440e-01,1.315723146047880366e-03,2.145462785367108154e+04,5.262701225781814089e-03,4.595033735171932373e+11,1.001532440990407679e-06,6.091671770975420896e-01,1.160528020080918953e-02,1.206527894825717420e-03,7.410324856438688101e-01,1.136651740730446197e-01,7.173942019880097832e-05
6.066931384634866031e-01,7.908193194646658597e+00,3.859341089880043985e-01,2.034981863901579556e-03,1.184727809505774349e+04,6.368905267653417017e-03,3.232195996573042480e+12,1.202619283815292609e-06,6.365875040626779446e-01,1.404467535444162141e-02,1.985501156872987883e-03,7.422607764015796139e-01,1.523221472952795141e-01,1.230876817611923095e-04
8.861272273490615747e-01,7.555402026932496184e+00,3.664551438521185256e-01,3.097203080729685719e-03,6.701975406274204943e+03,7.655397047275298676e-03,2.090762018031095312e+13,1.436005840911063030e-06,6.641360749519109596e-01,1.688164004956957398e-02,3.207192076044644308e-03,7.433368680487676405e-01,2.018264204991351840e-01,2.066036568346829713e-04
1.278038395103914926e+00,7.231850563208781502e+00,3.485682645768866106e-01,4.654021020256706408e-03,3.864916113318314274e+03,9.152364644470291008e-03,1.265888164526593750e+14,1.707131393219745319e-06,6.919608219670714266e-01,2.018274487609316228e-02,5.106812960493933157e-03,7.443082789956951828e-01,2.650237074902870305e-01,3.407750450252680489e-04
1.826432369420734503e+00,6.931910643900978108e+00,3.319784844610246255e-01,6.929516642532786673e-03,2.260388575633935034e+03,1.090044483261523763e-02,7.308629514370191250e+14,2.023328365511283538e-06,7.202644296544400415e-01,2.403760182626927047e-02,8.052513970060163132e-03,7.452188383437685637e-01,3.457562390471661251e-01,5.549410430655376657e-04
2.593776768601947058e+00,6.651298800508550713e+00,3.164576479742750581e-01,1.025486880782473104e-02,1.334889574206426687e+03,1.295064930189524129e-02,4.085479393628841500e+15,2.393814166470760786e-06,7.492475474660829082e-01,2.855870160263194665e-02,1.262438258758944928e-02,7.461109075873481045e-01,4.491156478205787783e-01,8.957571152750817530e-04
3.668367032016503604e+00,6.386963827294255935e+00,3.018403596795558586e-01,1.511877138608712715e-02,7.934584557824888407e+02,1.536495004251546732e-02,2.235986982004268000e+16,2.829811942275033196e-06,7.790850765766017538e-01,3.388270450187624155e-02,1.974221188882583147e-02,7.470294494477709435e-01,5.817656624585044733e-01,1.437385067410560215e-03
5.174632762648470496e+00,6.136819617979820229e+00,2.880101132371045702e-01,2.224151413098160099e-02,4.736514847693940169e+02,1.821782660444910135e-02,1.207365996239463360e+17,3.344855147821297096e-06,8.099215910390239470e-01,4.017385242366282999e-02,3.087714606797840530e-02,7.480270692006355526e-01,7.523746706231310144e-01,2.297570501397077150e-03
7.287674563160201124e+00,5.899481478798325185e+00,2.748848881927041798e-01,3.268437564004222223e-02,2.835523836708181307e+02,2.159897905289243428e-02,6.464420254158535680e+17,3.955306311860861373e-06,8.418748115581387026e-01,4.762995146527385093e-02,4.841401209787823956e-02,7.491703627786616693e-01,9.722035758856443222e-01,3.663005530907201442e-03
1.025380468818096169e+01,5.674064799894183331e+00,2.624059560383911194e-01,4.801045894485145293e-02,1.700921840660573707e+02,2.561744653250768583e-02,3.442890154101954560e+18,4.681076464505817712e-06,8.750359395104251314e-01,5.649145415714411367e-02,7.630328931595663222e-02,7.505495996460812558e-01,1.255904327279603550e+00,5.829205183337990252e-03
1.441960139251750839e+01,5.460046476748330768e+00,2.505310743552385810e-01,7.051298738487672690e-02,1.022001174065605795e+02,3.040772815828760023e-02,1.827538247514657382e+19,5.546284664484106443e-06,9.094407069519884201e-01,6.705495721819904054e-02,1.213362834670791562e-01,7.523001553070752800e-01,1.622612180515933700e+00,9.262542589196245957e-03
2.027316403996234229e+01,5.257142282865095773e+00,2.392346557663541373e-01,1.034754179588100592e-01,6.152318353969550202e+01,3.613965643837579317e-02,9.678603400032177357e+19,6.577917267179826162e-06,9.448908375294510220e-01,7.969497437430951570e-02,1.960394150259079371e-01,7.546755297732475887e-01,2.097485147489846380e+00,1.469282493092971369e-02
2.850362446264459493e+01,5.065022798452137209e+00,2.285292319390237192e-01,1.509776135402227937e-01,3.718203421330201763e+01,4.303890911199850788e-02,5.113548345988281795e+20,7.790302841895305579e-06,9.800210769230344177e-01,9.490916895205298021e-02,3.277183896939024343e-01,7.583673116990548024e-01,2.714105895509256072e+00,2.322355096408645209e-02
4.009154152020479955e+01,4.882386606972372256e+00,2.185646211754089241e-01,2.139093962800982240e-01,2.276943717039377901e+01,5.145074335532223708e-02,2.685895978528758301e+21,9.092463537735978409e-06,1.008159564949361764e+00,1.134589002038078609e-01,nan,7.658734543981057241e-01,3.519397503812898620e+00,3.627000210031405131e-02
